CancerType	SALL1	SALL2	SALL3	SALL4
BLCA	-0.380189191521322	-0.473178397322576	-0.163173329220387	0.862408186610193
BRCA	-0.0327721095588287	-0.168413109843641	0.0280974769353437	0.45257988160888
CHOL	-1.45902320658333	1.11980250547222	0.0281169146666667	0.436898241055556
COAD	-0.367928290125835	-0.770401722865983	0.015996568357154	0.830790216289058
ESCA	0.176104394925926	-0.0157868623737375	0.0678532672317621	0.911876473939955
GBM	0.845952048925	0.374245013519048	1.27372287513571	0.250019592119048
HNSC	0.191860083931094	-0.0506883345919956	0.143408140936436	0.290063984482343
KICH	-3.18872370213397	-1.97939985013013	0.0118160577147436	0.498348425201923
KIRC	-0.825670428565317	-0.743607802500779	-0.555329114101324	0.129517263417627
KIRP	-0.667534128988755	-0.635296830834018	-0.695538892525519	0.0489717310426038
LIHC	-0.324772436037754	0.473372913919893	0.012114001453262	0.276448783090053
LUAD	0.259156481649836	-0.00674117122430218	0.0987221589383579	0.60105310484952
LUSC	0.367492514161229	-0.38365173048947	0.21963208847118	0.749791963967086
PRAD	-0.174063421084515	-0.0594675878667719	-0.262647821701249	-0.0144276522858023
READ	-0.157776412143114	-1.03634359867904	0.0436989699317365	0.975363485564671
STAD	-0.0301957191578334	-0.66720719646975	0.0120659473398333	1.03769412461258
THCA	-0.215458027451183	-0.614185885922515	0.0262567320952671	-0.520204020244151
UCEC	-0.0238123331609486	-1.04799007697722	0.0588799102077685	0.353640047751825
