cancer	HR	HR.95L	HR.95H	pvalue
ACC	1.06781428383557	0.520652454193321	2.18999706153291	0.857907649241527
BLCA	1.37539387058783	0.950319659380171	1.99060208907432	0.0910635361235064
BRCA	1.13587500332086	0.721779357759106	1.78754353293625	0.581843956824094
CESC	1.00486351808812	0.721678391022885	1.39916991078705	0.977082827244315
CHOL	0.873692404390043	0.551509215125149	1.38409005063612	0.565132955349381
COAD	0.395034356822976	0.191351723757527	0.815525149218334	0.0120268333004663
DLBC	0.17127695972721	7.36730373270309e-06	3981.890525726	0.730866234258772
ESCA	0.967234490448827	0.634914516213692	1.47349373123945	0.876732310357032
GBM	0.859981703254196	0.684439303036572	1.08054655343554	0.195341086598607
HNSC	1.30715856564857	0.931967382730648	1.83339411594221	0.12071491122675
KICH	0.789265026169346	0.450954212572844	1.3813803356665	0.407296370887524
KIRC	0.647453543700051	0.564308072139754	0.742849716220146	5.68747865932741e-10
KIRP	0.75561313005163	0.560993901603752	1.01774939205971	0.0651570657999827
LAML	3.55059083694573e-11	5.77048044519527e-22	2.18468729096895	0.0576552631041765
LGG	1.75109987134643	1.34066725898902	2.2871825494879	3.93271524693957e-05
LIHC	0.870078812887593	0.711201484338951	1.06444820111636	0.176105746443114
LUAD	1.24413659226343	1.02429519269809	1.51116189087211	0.0276697774657983
LUSC	1.00378608050066	0.79757073775562	1.26331928656542	0.974306526286087
MESO	0.992619891924425	0.351711948565757	2.80142387502609	0.988835446896615
OV	1.00413946945455	0.875988678871202	1.1510377912826	0.952712834773214
PAAD	0.882179131415374	0.537435643460772	1.44806179004685	0.620050078584329
PCPG	0.462651707636379	0.0393109866062244	5.44495625925008	0.540045548220615
PRAD	3.23427967240863	0.314711840792884	33.238549185189	0.323431724430201
READ	0.388178306041073	0.116725951615288	1.29090742200624	0.122715502733204
SARC	1.12858658850052	0.966687183745268	1.31760067699302	0.125738599688424
SKCM	0.935917305681339	0.838020453912594	1.04525038617396	0.240047677879271
STAD	1.0181412488885	0.718376886089436	1.44299130826876	0.919516710956719
TGCT	0.884281186152532	0.382954602490133	2.04189533458728	0.773327127864419
THCA	0.683354963657015	0.435413256214454	1.07248458720486	0.0977901622874227
THYM	1.65246945315054	0.735059602423955	3.71487602446245	0.224275623229701
UCEC	0.786526628665327	0.66261495147014	0.933610290904404	0.00604449728253877
UCS	1.00071026457674	0.734570637750758	1.36327397552343	0.996408776076229
UVM	1.51924237000464	0.87465588098691	2.6388633850069	0.137660314093171
