cancer	HR	HR.95L	HR.95H	pvalue
ACC	1.42454962590026	0.632758589686408	3.20713407882506	0.392760524628646
BLCA	0.649247400052566	0.22638881253122	1.86193912040988	0.421656041854962
BRCA	0.313012710593899	0.0316662071223593	3.09405406889287	0.320377398379949
CESC	0.836322543664171	0.539075730205726	1.2974715014048	0.425032444701678
CHOL	0.00668093520106278	4.62110684978895e-08	965.891865556805	0.408693589374309
COAD	0.418024748441067	0.0215479588936749	8.1095704317735	0.564268802087107
DLBC	2.37153747038635e-30	5.9152934806714e-92	9.50787985722763e+31	0.345911822626919
ESCA	0.975892449157743	0.538310063756545	1.76917753622717	0.935922584616893
GBM	0.869674255431499	0.737581654188605	1.0254231599515	0.0966570298698597
HNSC	0.795950665040709	0.572364524197951	1.10687758306914	0.174961133985896
KICH	0.52613266389735	0.139636446118937	1.98240207133273	0.342684464311627
KIRC	0.827759184362134	0.507687547525853	1.3496199988261	0.448518364375386
KIRP	0.772454372599523	0.205721065678593	2.90046017300121	0.702112507098601
LAML	3.41302742345798e-10	1.74360344753424e-18	0.0668085177839581	0.0252375894699251
LGG	1.4458291066666	1.18667586236678	1.76157775849175	0.000253931310522104
LIHC	1.69657663604523	0.997686834839531	2.88504586956637	0.0510077151368893
LUAD	0.770213701782797	0.470792794042804	1.26006420217218	0.298545981102986
LUSC	0.959310126958636	0.745099502055905	1.23510473050396	0.747301924509091
MESO	1.63261555620782	0.911430285390309	2.92445137834138	0.0993231911058614
OV	9.05620661264848e-05	1.19299892565215e-11	687.46816486985	0.249432969106772
PAAD	0.00022986210278388	4.2484346457604e-10	124.367186274017	0.213548079247935
PCPG	2.28119408134452e-38	7.65334828200718e-183	6.79943763828883e+106	0.609592088120317
PRAD	1.42817408533682	0.489065238568798	4.17057083017513	0.514518555569796
READ	1.01162285454266	0.423316897043958	2.4175288229205	0.979259109454829
SARC	1.36457196588384	1.00809891256026	1.84709717159307	0.0442009784659619
SKCM	1.34493537389326	1.05474588581735	1.714963939914	0.0168583308324785
STAD	19.9420469627583	1.30665253762726	304.354237727965	0.0313724779151398
TGCT	1.63924877568861	0.527358860954346	5.09546107508989	0.393028240206668
THCA	2.41561454822262	1.48793149490479	3.92168165373644	0.000360671970611763
THYM	4.64779282482323e-69	3.28160118824231e-171	6.58275546092447e+33	0.189826136316462
UCEC	0.86569587223889	0.412643481979815	1.81616668126146	0.702835399132929
UCS	0.856367940978355	0.27511978207764	2.66562456831457	0.788977094851335
UVM	0.14891837426417	0.00151494781161668	14.6385783215974	0.415916591398439
