cancer	HR	HR.95L	HR.95H	pvalue
ACC	1.90977398456138	0.929510298582258	3.92382599490336	0.0782378890709382
BLCA	0.989327627555568	0.820925204884881	1.19227567727316	0.910265031320518
BRCA	0.917764182084863	0.604458392769777	1.39346413912513	0.687127833126584
CESC	1.10179258834622	0.840138582918035	1.44493650502075	0.483450407582032
CHOL	1.2552673980027	0.639211209457719	2.46506353013619	0.50908117873011
COAD	1.2996442771812	0.964296897774326	1.75161327502802	0.0852134636982474
DLBC	0.0923753289432113	0.000364768161253579	23.3934929190117	0.398928449524986
ESCA	1.14149385484834	0.892051534798392	1.46068715744211	0.292824569037488
GBM	0.939772415439788	0.690121018609392	1.27973524788615	0.693359951469692
HNSC	0.777902275085451	0.51627170190965	1.1721191522696	0.229862597805152
KICH	1.79994545906509	0.386983882740832	8.37193433654901	0.453593755042129
KIRC	2.13663749531695	1.54241185495311	2.95979298378324	4.96577122975911e-06
KIRP	1.21353111998255	0.702386597740162	2.09664846098173	0.487868856716207
LAML	0.785337840666032	0.581897233468029	1.05990454758859	0.11418908128822
LGG	1.36892404529255	1.00935639655669	1.85658212319545	0.0433972653472177
LIHC	1.39423332207384	1.06287242877737	1.82889922040515	0.0163791400142819
LUAD	1.02389496655245	0.783273874650188	1.33843466054532	0.862833142325978
LUSC	1.09466244453855	0.883276307577313	1.35663761973852	0.408693735779394
MESO	1.15231425442818	0.702604226587978	1.88986642936472	0.57435261773471
OV	1.05395464494135	0.891458038553579	1.24607143079419	0.53849369300571
PAAD	0.651241405511706	0.426095790536242	0.995352166514276	0.0475365775772279
PCPG	1.00728671255129	0.44566253665487	2.27666998643895	0.98607737855323
PRAD	0.909823827044999	0.157771957817177	5.24668266599078	0.915807694765007
READ	0.788203031504814	0.415250443649059	1.49611885640375	0.466695365633962
SARC	1.50461958864256	1.12948337083093	2.00435009933914	0.00523637285171649
SKCM	1.10485787678561	0.927981501159906	1.31544748076273	0.262602039886741
STAD	1.02630343986581	0.888697203229528	1.18521668218681	0.723730235613603
TGCT	1.54053474801499	0.479474879976455	4.94968017919554	0.468061464670669
THCA	3.4434228365407	1.86666830001024	6.35204488721695	7.56302718987452e-05
THYM	2.28182251210801	0.464261519528996	11.2150453090431	0.309880069743918
UCEC	1.29254305864116	1.0449743281197	1.59876421217695	0.0180060709138542
UCS	1.10365454475001	0.774002040828957	1.57370819441614	0.5858792986975
UVM	1.08698436454644	0.585852005538551	2.01678068453875	0.791408439436704
