cancer	HR	HR.95L	HR.95H	pvalue
ACC	1.21193986249807	0.832022158681453	1.76533547212194	0.316500263180361
BLCA	0.964749897981348	0.803802567400942	1.15792410151728	0.699962774270664
BRCA	0.911282306274289	0.767016658541209	1.08268240654381	0.290729306082828
CESC	1.16255948409313	0.893055631574908	1.51339346203039	0.262973048429624
CHOL	0.769379216639942	0.403298833544623	1.4677562387048	0.42629754801039
COAD	1.23019913610049	0.651361184350601	2.32342661924387	0.523090425524137
DLBC	7.24357719973059	1.05424479991399	49.7696651221213	0.0440426992473454
ESCA	0.948140185913423	0.654537893752217	1.37344196680575	0.778207889232251
GBM	0.812350247571112	0.627379207604273	1.05185654342739	0.114919351863451
HNSC	0.993962801312085	0.809206714502647	1.22090194345383	0.953976685472426
KICH	0.696371201500922	0.0727791849705714	6.66307063586824	0.753486494017777
KIRC	0.771950614101124	0.620677212643232	0.9600928445131	0.0200224173697098
KIRP	1.03005484241311	0.689835809333138	1.53806596297802	0.884895885732122
LAML	0.995730809673476	0.67542950306199	1.46792498823078	0.982763327602637
LGG	0.538063334670132	0.416981038059474	0.69430531772778	1.88939132025762e-06
LIHC	1.20220700691656	0.967469003130615	1.49389973508448	0.0965983899832473
LUAD	0.811298001884293	0.682178329922718	0.964856869516819	0.0180559214776299
LUSC	0.935986217388461	0.776795846944953	1.12779979783188	0.486731360731247
MESO	0.914563216864041	0.686255695389506	1.21882540758509	0.542203078307406
OV	1.07464505372089	0.931497233741671	1.239791112259	0.323627075208395
PAAD	0.582279881985151	0.428123262036977	0.79194449596471	0.000567764789948026
PCPG	1.70835173653178	0.703253016355015	4.14995113826552	0.23697656516898
PRAD	0.588294964862482	0.212363025841185	1.629713855845	0.307494136680416
READ	1.94764346640686	0.672357374008601	5.64181374203058	0.219281622091665
SARC	0.963759959191139	0.799500665613309	1.16176671126044	0.6986161702015
SKCM	0.988607855081233	0.854870761404418	1.14326695361845	0.877214585167814
STAD	1.2159682906016	1.00199330198102	1.47563749261128	0.0476890439118305
TGCT	0.917409216936994	0.314749552531958	2.67399799157933	0.874510229909623
THCA	1.31999958709279	0.613045565393089	2.84220131142762	0.478015558193283
THYM	0.740381505069975	0.257725310656687	2.12693418295996	0.576647960107352
UCEC	1.30960428898547	1.07351007131294	1.59762208064947	0.00782966343691601
UCS	0.991359887440882	0.587017197129692	1.67421743559187	0.9741081247834
UVM	0.909506381213483	0.527616934153031	1.56780763452168	0.732794278232114
